institutionCode,catalogNumber,otherIdentifier,otherNumber,month,year,binomial,Freshly_killed,massing,totalLength,tailLength,headbodyLength,sex,ageClass,reproductivelyActive,Liver_mass,Cecum_full_mass,Cecum_length,Cecum_curved_length,Cecum_empty_mass,Cecum_dry_mass,Stomach_full_mass,Stomach_length,Stomach_curved_length,Stomach_empty_mass,Stomach_dry_mass,LI_full_mass,LI_length,LI_empty_mass,LI_dry_mass,SI_full_mass,SI_length,SI_empty_mass,SI_dry_mass,Intestine_full_mass (shrew/mole only),Intestine_length (shrew/mole only),Intestine_empty_mass (shrew/mole only),Intestine_dry_mass (shrew/mole only),Total_GI_length ,Total_GI_length_scaled
UNCG,204,,,May,2022,Peromyscus maniculatus ,Yes,16,189,97,92,Female,adult,No,,0.4707,32,38,0.1233,0.0209,0.3112,23,27,0.2803,0.0569,0.2984,99,0.1008,0.0174,0.862,263,0.3599,0.0728,,,,,427,4.641304348
UNCG,205,,,May,2022,Peromyscus maniculatus ,Yes,18,187,95,92,Female,adult,Yes,,0.6026,38,38,0.1391,0.0251,0.3894,24,25,0.2985,0.0629,0.2239,104,0.1385,0.0265,1.0587,317,0.4755,0.0949,,,,,484,5.260869565
UNCG,206,,,May,2022,Peromyscus maniculatus ,Yes,14,173,88,85,Male,adult,Yes,,0.221,23,24,0.07,0.0099,0.1994,28,28,0.1758,0.0335,0.1207,56,0.0637,0.0116,0.5968,271,0.155,0.0261,,,,,379,4.458823529
UNCG,207,,,May,2022,Ochrotomys nuttali ,Yes,15,165,81,84,Female,adult,No,,0.8319,45,48,0.1391,0.0228,0.2933,22,27,0.2457,0.0455,0.3076,102,0.0771,0.0143,0.8279,244,0.3649,0.0659,,,,,421,5.011904762
UNCG,208,,,May,2022,Synaptomys cooperi ,No ,31,128,18,110,Male,adult,No,,0.5579,72,84,0.1808,0.0287,0.3872,24,30,0.2373,0.0464,0.7088,335,0.4437,0.0773,1.2143,411,0.6396,0.127,,,,,850,7.727272727
UNCG,212,,,May,2022,Peromyscus leucopus ,Yes,20.75,173,78,95,Female,adult,Yes,,0.5922,29,37,0.1817,0.0296,0.5332,23,36,0.523,0.1039,0.3728,105,0.1052,0.0294,1.212,330,0.3529,0.0695,,,,,508,5.347368421
UNCG,213,,,May,2022,Peromyscus leucopus ,Yes,21.5,177,75,102,Male,adult,Yes,,0.4726,37,39,0.143,0.0229,0.5108,24,39,0.4243,0.083,0.2507,94,0.1487,0.0272,1.0019,235,0.4019,0.0771,,,,,407,3.990196078
UNCG,214,,,May,2022,Sorex cinereus,Unknown,4,105,43,62,Male,adult,No,,,,,,,0.0618,10,14,0.0371,0.0051,,,,,,,,,0.3442,202,0.0923,0.0118,216,3.483870968
UNCG,215,,,May,2022,Sorex cinereus,Unknown,3.5,91,38,53,Male,adult,No,,,,,,,0.0524,14,16,0.0289,0.0039,,,,,,,,,0.2496,116,0.1025,0.0161,132,2.490566038
UNCG,216,,,May,2022,Sorex cinereus,Unknown,5,120,48,72,Female,adult,No,,,,,,,0.1179,18,21,0.1002,0.0179,,,,,,,,,0.7022,221,0.2219,0.0326,242,3.361111111
UNCG,217,,,May,2022,Blarina brevicauda,Unknown,17,113,27,86,Female,adult,Yes,,,,,,,0.2401,17,20,0.1068,0.0228,,,,,,,,,2.4741,391,0.5607,0.1142,411,4.779069767
UNCG,218,,,May,2022,Sorex cinereus,Unknown,5,106,38,68,Female,adult,No,,,,,,,0.0546,14,15,0.0401,0.0079,,,,,,,,,0.6143,232,0.2212,0.0327,247,3.632352941
UNCG,219,,,May,2022,Blarina brevicauda,Unknown,10,105,25,80,Female,adult,No,,,,,,,0.1504,20,22,0.0746,0.0415,,,,,,,,,0.9568,260,0.3277,0.0573,282,3.525
UNCG,220,,,May,2022,Blarina brevicauda,Unknown,18.5,124,23,101,Male,adult,No,,,,,,,0.3862,12,21,0.1043,0.0225,,,,,,,,,1.7526,343,0.5089,0.1082,364,3.603960396
UNCG,226,,,May,2022,Peromyscus leucopus ,Unknown,21,169,72,97,Female,adult,Yes,,0.72,30,32,0.2081,0.0369,0.4448,24,29,0.4144,0.0854,0.3555,111,0.1649,0.031,1.8893,321,0.5463,0.1162,,,,,493,5.082474227
UNCG,227,,,May,2022,Peromyscus leucopus ,Yes,12.5,149,65,84,Male,adult,No,,0.4885,36,41,0.1345,0.0211,0.3182,21,25,0.2498,0.0486,0.1211,61,0.0461,0.0078,0.6794,227,0.193,0.0322,,,,,354,4.214285714
UNCG,228,,,May,2022,Peromyscus maniculatus ,Yes,15.25,177,88,89,Male,adult,Yes,,0.9581,32,45,0.1032,0.0158,0.3991,24,27,0.2725,0.0649,0.2568,80,0.1058,0.0202,1.0483,221,0.596,0.1332,,,,,373,4.191011236
UNCG,229,,,May,2022,Microtus pennsylvanicus ,Unknown,13.25,106,28,78,Male,adult,No,,1.2687,73,70,0.2159,0.0341,0.3102,18,27,0.2271,0.045,0.4633,172,0.1852,0.0362,0.8242,219,0.2775,0.0499,,,,,488,6.256410256
